url,domain,title,language_detected,kurdish_dialect_group,status_code,source,category,notes,checked_at
https://dicletv.com,dicletv.com,"Dicle TV - Son Dakika Diyarbakır Haberleri, Mezopotamya Gündemi",Turkish / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,TV & Radio,,2026-02-12 15:15:55
https://efrin.net/,efrin.net,Trang chủ - làm đẹp,KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,diaspora,Diaspora,Efrin community,2026-02-12T14:53:25Z
https://ekurd.net/,ekurd.net,Insight International - The Insight International,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,known_media,News & Media,eKurd.net daily news,2026-02-12T14:52:50Z
https://github.com/sinaahmadi/awesome-kurdish,github.com,GitHub - sinaahmadi/awesome-kurdish: A curated list of awesome resources and tools for Kurdish language and speech technologies,English / KMR (Northern Kurdish / Kurmanji) / HAW (Hawrami / Gorani),KMR (Kurmanji),200,tech,Technology,Awesome Kurdish GitHub repo,2026-02-12T14:53:29Z
https://gulanfood.com,gulanfood.com,è°·å°é£å,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,Food & Lifestyle,,2026-02-12 15:16:04
https://institutkurde.org/,institutkurde.org,Fondation Institut kurde de Paris,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Institut Kurde de Paris,2026-02-12T14:53:15Z
https://jinfilm.com,jinfilm.com,AG真人国际·(中国区)官方网站-旗舰厅入口,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,Culture & Arts,SSL warning,2026-02-12 15:16:14
https://jinmarket.com,jinmarket.com,진마켓,English / Turkish / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,E-Commerce,,2026-02-12 15:16:14
https://jinnet.com,jinnet.com,金网JinNet-外汇黄金新闻|实时行情与交易知识学习平台,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,General,,2026-02-12 15:05:59
https://jinnews.net,jinnews.net,JINNEWS,Turkish / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:35
https://jintravel.com,jintravel.com,,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,Tourism,SSL warning,2026-02-12 15:16:15
https://jiyan.info,jiyan.info,Hosted By One.com | Webhosting made simple,Turkish / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,General,,2026-02-12 15:06:01
https://jiyanblog.com,jiyanblog.com,基岩博客是一个专注于知识分享、生活感悟与文化探索的综合平台,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,Blogs & Forums,,2026-02-12 15:06:01
https://khrp.org/,khrp.org,KHRP | Kurdish Human Rights Project,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Kurdish Human Rights Project,2026-02-12T14:53:19Z
https://komalahub.com,komalahub.com,Komala Hub – Le Marketing au coeur de votre activité,English / Turkish / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,Political,SSL warning,2026-02-12 15:16:17
https://koord.com/,koord.com,KOORD.com - Link to Kurdish websites,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Koord.com,2026-02-12T14:53:20Z
https://ku.wikipedia.org/,ku.wikipedia.org,Wîkîpediya,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Wikipedia Kurmanji Kurdish,2026-02-12T14:53:16Z
https://ku.wiktionary.org/,ku.wiktionary.org,Wîkîferheng,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Wiktionary Kurmanji Kurdish,2026-02-12T14:53:16Z
https://kurd1.com,kurd1.com,Kurd1 TV - Televîzyona kurdî ya serbixwe,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:36
https://kurdi.info,kurdi.info,Kurdi.info - Kurdish Language Learning  - فێر بوونی زمانی كوردی,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:37
https://kurdi.tv,kurdi.tv,Kurdi TV – Kurdî TV Zindî,KMR (Northern Kurdish / Kurmanji) / English / Turkish,KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:38
https://kurdihub.net,kurdihub.net,kurdihub.net,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,General,SSL warning,2026-02-12 15:16:23
https://kurdilit.net/,kurdilit.net,KurdîLit | KurdîLit,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Kurdish literature,2026-02-12T14:53:20Z
https://kurdish.io,kurdish.io,"KU Studio - Share Code, Inspire Developers",KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,discovered,General,,2026-02-12 14:58:41
https://kurdishacademy.org/,kurdishacademy.org,Kurdish Academy of Language | enables the Kurdish language in new horizons,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Kurdish Academy of Language,2026-02-12T14:53:15Z
https://kurdishlessons.com/,kurdishlessons.com,Online Kurdish Kurmanji Courses - Kurdish Kurmanji Lessons,KMR (Northern Kurdish / Kurmanji) / English,KMR (Kurmanji),200,cultural,Culture & Reference,Kurdish Lessons,2026-02-12T14:53:20Z
https://kurdishpeople.org/,kurdishpeople.org,KurdishPeople.Org - Who are the Kurds?,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,cultural,Culture & Reference,Kurdish People,2026-02-12T14:53:20Z
https://kurdishshop.com,kurdishshop.com,Kurdische Kleidung – KurdishShop.com,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,variation,E-Commerce,,2026-02-12 15:16:24
https://kurdistan-report.de/,kurdistan-report.de,Startseite - Kurdistan Report,KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,diaspora,Diaspora,Kurdistan Report Germany,2026-02-12T14:53:23Z
https://kurdistan-store.com/,kurdistan-store.com,"Kurdistan Store - Kurdish Gifts and Goods for Kurds Internationally
 – Kurdistan Shop",English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,ecommerce,E-Commerce,Kurdistan Store,2026-02-12T14:53:22Z
https://kurdistanblogcount.wordpress.com/,kurdistanblogcount.wordpress.com,Kurdistan Blog Count | A Blog Counting the Blogs of Kurdistan,English / KMR (Northern Kurdish / Kurmanji),KMR (Kurmanji),200,blogs,Blogs & Forums,Kurdistan Blog Count,2026-02-12T14:53:32Z
